"Name","Exp","Glucose","decay_constant","half_life","adj_r_squared"
"YAL014C",20,0,-0.013074814581569,53.0139204832049,0.331820828417787
"YAL014C",20,200,-0.0307543658865208,22.5381717547863,0.0711613800264523
"YAL014C",22,0,0.0340878865475004,20.334120145409,0.702626801571242
"YAL014C",22,200,-0.0333257875951161,20.7991237590894,0.394911653549875
"YAL014C",23,0,0.015324185605861,45.2322360474961,0.285303542062548
"YAL014C",23,200,-0.0494654485966552,14.0127543613708,0.612333884214266
"YAL015C",20,0,-0.007741281596182,89.5390733366172,-0.0788567267050206
"YAL015C",20,200,0.001612147645868,429.952667385341,-0.246772092251574
"YAL015C",22,0,0.0342643540355444,20.2293958275385,0.601470516389174
"YAL015C",22,200,0.00935734195787106,74.0752217542819,-0.0463667292800205
"YAL015C",23,0,0.0231467102488536,29.9458183520604,0.739984771857645
"YAL015C",23,200,-0.00580445029864269,119.416507144877,-0.191069769563403
"YAL016W",20,0,-0.0190903455726841,36.3087812067557,0.448330968004609
"YAL016W",20,200,-0.0259167325914965,26.7451607996053,0.297109946036095
"YAL016W",22,0,0.0196403014573454,35.2920845978518,0.427487335473562
"YAL016W",22,200,-0.0193388289368485,35.8422520217454,0.266142133947986
"YAL016W",23,0,0.00151170337980805,458.520626346658,-0.233489719643941
"YAL016W",23,200,-0.033829917697719,20.4891772647346,0.692530323457243
"YAL017W",20,0,0.00399501869358943,173.502862870754,-0.174708950079761
"YAL017W",20,200,-0.0237587796912634,29.1743595238113,-0.112339477668229
"YAL017W",22,0,0.0390022615312486,17.7719740688523,0.672511845109509
"YAL017W",22,200,-0.0285977170950063,24.237850114301,0.332522312931327
"YAL017W",23,0,0.0134988408388185,51.3486445863313,0.483348347048518
"YAL017W",23,200,-0.0469331858705706,14.7688073524662,0.604434345916241
"YAL018C",20,0,0.0268088685441095,25.8551448905607,0.286174997032849
"YAL018C",20,200,-0.0535120696383501,12.9530998379325,0.481661563317542
"YAL018C",22,0,0.0617701801118832,11.2213883674042,0.781172946301456
"YAL018C",22,200,-0.043963117230931,15.7665612499441,0.462731432552863
"YAL018C",23,0,0.0356332012334698,19.4522848513785,0.440540322668368
"YAL018C",23,200,-0.0515275953163283,13.4519605718976,0.83257956437349
"YAL019W",20,0,-0.0626496335218759,11.063866484038,0.859771890754492
"YAL019W",20,200,-0.0239825534607146,28.902142621943,0.0863919010875518
"YAL019W",22,0,-0.00474208455950421,146.169299990807,-0.210936310673874
"YAL019W",22,200,0.00737506464643073,93.9852345423716,-0.180454462483104
"YAL019W",23,0,-0.0291949936175303,23.7419877407934,0.794049070648457
"YAL019W",23,200,-0.0126555513943711,54.7702078684805,-0.144859265694548
"YAL020C",20,0,-0.0279088437458745,24.8361124119449,0.567622137942735
"YAL020C",20,200,-0.0226539957445074,30.597126810532,0.00239807190170394
"YAL020C",22,0,0.0168182754156732,41.2139273158763,0.266023418194987
"YAL020C",22,200,-0.0102328610713716,67.7373782098106,-0.112857941344367
"YAL020C",23,0,0.0017817033885176,389.036236349447,-0.232170928409732
"YAL020C",23,200,-0.0182741116665218,37.9305540651693,0.41361209358588
"YAL021C",20,0,-0.0222498948654628,31.1528294740789,0.344615894757138
"YAL021C",20,200,-0.0359036203162194,19.305774026549,0.0555665191719242
"YAL021C",22,0,0.0057457401660394,120.636708331651,-0.00930696741941262
"YAL021C",22,200,-0.045084259745492,15.3744829009697,0.342355469240229
"YAL021C",23,0,-0.0143226360707708,48.39522397518,0.276708407189468
"YAL021C",23,200,-0.0584996095188014,11.8487488422837,0.475106212536245
"YAL022C",20,0,-0.055012736724377,12.5997581984101,0.887567407764982
"YAL022C",20,200,-0.039778927614735,17.4249840838642,0.392747992798826
"YAL022C",22,0,-0.00355078787039843,195.209403056277,-0.212862142229655
"YAL022C",22,200,-0.0253527842791634,27.3400811890164,0.213039064104223
"YAL022C",23,0,-0.0189612919702415,36.5559046107087,0.443604952288442
"YAL022C",23,200,-0.033510088182266,20.6847316184255,0.276460159463119
"YAL023C",20,0,-0.041126004715056,16.8542309266961,0.834694393269559
"YAL023C",20,200,-0.0417415638724278,16.6056830711559,0.766376907246963
"YAL023C",22,0,-0.000307089455326741,2257.15070490597,-0.249431824759727
"YAL023C",22,200,-0.0272512557596624,25.4354216434293,0.72774328677782
"YAL023C",23,0,-0.0183611197295065,37.7508120839738,0.441201410859312
"YAL023C",23,200,-0.0352282882025342,19.6758689089549,0.870291050165714
"YAL024C",20,0,-0.0533498799211215,12.992478738186,0.610843811413526
"YAL024C",20,200,-0.00265550559268985,261.02267774094,-0.249128530331932
"YAL024C",22,0,-0.00626191527233114,110.692519846552,-0.181123583183762
"YAL024C",22,200,-0.0104090188386371,66.591019893927,-0.230164615792442
"YAL024C",23,0,-0.02232538927609,31.0474846367983,0.627499522163864
"YAL024C",23,200,-0.027641265315505,25.0765358476963,-0.104537196615609
"YAL025C",20,0,-0.109298453454476,6.34178397454313,0.922394516676878
"YAL025C",20,200,-0.052283833455772,13.2573901863239,0.116311437362396
"YAL025C",22,0,-0.0426709992668948,16.2439875434955,0.95975437831442
"YAL025C",22,200,-0.0209526030697435,33.0816738260498,-0.136817711063709
"YAL025C",23,0,-0.0588407774920467,11.7800479549006,0.881285323050671
"YAL025C",23,200,-0.0368823335577169,18.7934741025875,0.026707279316867
"YAL026C",20,0,-0.03878340512354,17.8722620758029,0.792945683955296
"YAL026C",20,200,-0.0260245608023183,26.6343469088707,0.29476772603232
"YAL026C",22,0,-0.00804541479914566,86.154312470446,-0.015468146257438
"YAL026C",22,200,-0.0114321543151316,60.6313702083688,0.0016764687152242
"YAL026C",23,0,-0.0182724224338953,37.9340606352313,0.385688412134903
"YAL026C",23,200,-0.0254301819772689,27.2568706421182,0.41319158005204
"YAL027W",20,0,-0.0198472261976182,34.9241336627245,0.397782807948391
"YAL027W",20,200,-0.0181966111718094,38.0921026456719,-0.188621229661278
"YAL027W",22,0,0.0201008928662009,34.4834025619556,0.357816143074129
"YAL027W",22,200,-0.0117355724736582,59.0637723141151,-0.193386056827108
"YAL027W",23,0,0.00309460819241847,223.985440954398,-0.197516387055392
"YAL027W",23,200,-0.0233179701252584,29.7258799473767,-0.0353848272126958
"YAL028W",20,0,0.00717600804574892,96.5923081664557,0.355163259525433
"YAL028W",20,200,-0.0263276159926316,26.3277609622511,0.0365501348570443
"YAL028W",22,0,0.0584391891691463,11.8609992783045,0.704434866191972
"YAL028W",22,200,-0.0263104693934613,26.3449188303804,0.216756632105466
"YAL028W",23,0,0.0363649543813127,19.0608565953857,0.629482709955486
"YAL028W",23,200,-0.0274715239107449,25.2314790694533,0.266617542965555
"YAL029C",20,0,-0.0584706456033049,11.8546182175346,0.871512697351508
"YAL029C",20,200,-0.031136546300308,22.2615306744245,0.195460519583815
"YAL029C",22,0,-0.0175456425287438,39.5053745922619,0.385123432503322
"YAL029C",22,200,-0.0140239692211514,49.4258914597816,-0.0247487586769499
"YAL029C",23,0,-0.0345402029949145,20.067837489606,0.803013200739329
"YAL029C",23,200,-0.0254162170402752,27.271846925983,0.298338946303143
"YAL030W",20,0,-0.00874392342374177,79.2718722442023,-0.0351819646643907
"YAL030W",20,200,-0.0258218474808446,26.8434387227382,0.866377618789433
"YAL030W",22,0,0.0239004650417168,29.0014097780147,0.504937295221554
"YAL030W",22,200,-0.0120159198653685,57.685735950827,0.84210420574775
"YAL030W",23,0,0.00608599760677052,113.892121776196,-0.0597396577476532
"YAL030W",23,200,-0.0152467205821774,45.4620504667868,0.815228155642312
"YAL031C",20,0,-0.0073932225462741,93.754404959616,-0.129380977517854
"YAL031C",20,200,-0.0108546050185836,63.8574300375964,-0.226798014838888
"YAL031C",22,0,0.0249218742778102,27.8128030353281,0.678139402007552
"YAL031C",22,200,-0.0201657217473182,34.3725451161759,-0.101999925151978
"YAL031C",23,0,0.00701745767569067,98.7746863028603,-0.0143150202029942
"YAL031C",23,200,-0.0327972482178586,21.1343090723848,0.0304080422213618
"YAL032C",20,0,-0.0188254985663232,36.8195922205169,0.131453626110086
"YAL032C",20,200,-0.0127267791618953,54.4636762956702,-0.218891696268722
"YAL032C",22,0,0.0240604263012907,28.8085993107596,0.661772737354632
"YAL032C",22,200,-0.00566958584088668,122.257110133382,-0.239398967592896
"YAL032C",23,0,0.00730217053619568,94.9234446284329,0.108816520288485
"YAL032C",23,200,-0.0112231350592757,61.7605666241243,-0.219042013783691
"YAL033W",20,0,-0.0395891640758978,17.5085076116052,0.644971205248755
"YAL033W",20,200,-0.0404136372123007,17.1513189203612,0.485105408101932
"YAL033W",22,0,-0.00321860828166262,215.356178789762,-0.145834633380954
"YAL033W",22,200,-0.0243378652235154,28.4801963604525,0.178548490334019
"YAL033W",23,0,-0.013847541966846,50.055611473826,0.420018588094295
